,,,,,,,,Measures
Organization ID,Facility ID,Facility name,Building ID,Building name,,,,
id9e76b747-5d3b-40ac-ba13-0a64871a0ecb,Hon63683409780812,Bracknell Facility,2457d7c7-37846f2c,TestlongbuildingnameTestlongbuildingnameTestlongbuildingnameTestlongbuildingnameTestlongbuildingname,,,,
id9e76b747-5d3b-40ac-ba13-0a64871a0ecb,Hon63683409780812,Bracknell Facility,2457d9b6-c2244fac,Test2,,,,
id9e76b747-5d3b-40ac-ba13-0a64871a0ecb,Hon63683409780812,Bracknell Facility,97ad6d04-080c-4c80-8383-90235e9ac107,HW Bracknell,,,,
id9e76b747-5d3b-40ac-ba13-0a64871a0ecb,Hon63683410004865,Masdar Facility,cafd46ff-a571-4e05-8f1a-8d327afc493b,Masdar_Office,,,,
id9e76b747-5d3b-40ac-ba13-0a64871a0ecb,SPo63683484645940,B1,376e1bb1-0421-413a-af33-d1904ab177fd,B3,,,,
id9e76b747-5d3b-40ac-ba13-0a64871a0ecb,SPo63683484645940,B1,42688c89-6aa5-4f83-b330-71e6134c726f,B1,,,,
id9e76b747-5d3b-40ac-ba13-0a64871a0ecb,SPo63683484645940,B1,e5b0c4fd-0046-4777-9e10-b388542dde3d,B4,,,,
